X1;X2;X3;X4;XAntSigatoka;Sigatoka
24.70;93.19;11.80;1.46;5774.77;5168.21
24.02;97.14;146.40;1.49;5168.21;5051.57
25.11;96.22;133.60;1.44;5051.57;4401.20
23.63;98.40;205.61;1.38;4401.20;4056.02
24.57;94.33;7.00;1.69;4056.02;3896.74
25.23;94.08;62.40;1.68;3896.74;4369.48
25.70;93.52;72.20;1.60;4369.48;5409.72
25.52;92.13;17.40;1.67;5409.72;5699.19
25.37;93.31;16.40;1.86;5699.19;5386.28
25.37;93.98;49.60;1.60;5386.28;5705.18
26.74;93.29;8.60;1.75;5705.18;5315.55
27.12;93.90;47.60;1.55;5315.55;5767.32
25.81;93.02;44.80;1.70;5767.32;5286.15
25.17;95.76;199.40;1.37;5286.15;4929.54
26.82;93.66;25.80;1.36;4929.54;5220.56
26.25;95.25;195.60;1.27;5220.56;5749.56
27.16;87.78;12.80;1.66;5749.56;5797.14
25.56;92.64;107.40;1.32;5797.14;5448.13
25.12;94.10;77.20;1.49;5448.13;5684.72
26.66;90.38;12.20;1.59;5684.72;4935.21
26.42;86.21;6.80;1.52;4935.21;5471.04
26.10;89.46;62.00;1.46;5471.04;5038.30
24.98;94.74;43.00;1.01;5038.30;5286.74
26.78;88.28;0.00;1.85;5286.74;5084.00
26.02;91.38;7.40;1.35;5084.00;5041.29
25.97;92.72;54.00;1.28;5041.29;5188.10
26.17;92.89;24.00;1.27;5188.10;5174.39
25.60;91.57;65.00;1.64;5174.39;5156.36
25.85;92.32;42.20;1.55;5156.36;5162.36
25.97;91.76;50.00;1.48;5162.36;5142.95
25.98;91.54;5.60;1.31;5142.95;5269.87
26.13;90.49;29.40;1.42;5269.87;4865.53
25.21;93.02;143.20;1.27;4865.53;5393.12
25.74;92.00;17.20;1.72;5393.12;5649.26
24.95;91.46;10.00;1.57;5649.26;5198.30
25.47;91.44;66.60;1.65;5198.30;5281.66
25.18;91.88;46.80;1.45;5281.66;5940.93
25.78;91.85;21.85;0.59;5940.93;5253.16
24.77;94.67;97.25;1.30;5253.16;5126.36
23.51;93.22;44.00;1.65;5126.36;6138.08
24.59;90.05;50.80;1.40;6138.08;5942.50
23.80;96.45;117.80;1.11;5942.50;4885.34
23.47;95.93;376.40;1.32;4885.34;4688.45
22.37;95.20;97.60;2.02;4688.45;4046.76
22.33;94.95;77.40;1.78;4046.76;5485.19
22.40;95.46;178.60;1.96;5485.19;5485.19
22.36;97.74;210.20;1.78;5485.19;4651.20
23.17;95.06;82.00;1.54;4651.20;4491.57
23.38;97.78;382.80;1.57;4491.57;4534.74
24.35;91.32;1.00;1.76;4534.74;4281.99
23.79;88.72;12.60;1.34;4281.99;4476.20
23.50;91.46;24.60;1.42;4476.20;5077.89
24.31;88.35;31.40;2.14;5077.89;4511.28
24.19;92.76;93.60;1.92;4511.28;4322.91
24.40;88.39;6.40;2.30;4322.91;3920.14
23.84;92.22;223.40;1.99;3920.14;3948.53
23.93;88.28;3.80;2.40;3948.53;4399.50
23.66;88.99;14.00;2.38;4399.50;4460.16
24.34;88.65;10.80;2.06;4460.16;5070.15
25.75;89.30;0.40;2.31;5070.15;4904.40
24.55;93.05;39.80;1.98;4904.40;4929.35
24.81;87.07;19.20;2.42;4929.35;5598.98
25.04;86.57;0.60;2.93;5598.98;5192.36
25.94;88.41;20.40;2.60;5192.36;5048.57
25.01;93.47;115.20;1.75;5048.57;5051.06
25.57;94.93;138.60;1.47;5051.06;5404.03
26.15;87.96;0.00;2.38;5404.03;5298.10
26.35;89.24;10.00;1.51;5298.10;5568.66
25.97;92.76;54.60;1.62;5568.66;5853.06
27.10;87.97;2.60;2.35;5853.06;5849.00
26.11;92.28;11.20;1.67;5849.00;5605.54
26.23;90.59;75.60;1.62;5605.54;5673.44
25.80;92.76;28.40;1.62;5673.44;5695.34
26.47;89.35;1.20;1.50;5695.34;5727.37
24.91;95.53;78.20;1.18;5727.37;5871.44
25.46;84.70;36.40;1.54;5871.44;5953.47
25.39;89.08;49.80;1.03;5953.47;5841.07
26.08;90.93;3.60;1.96;5841.07;6261.79
26.05;93.16;9.80;1.31;6261.79;5749.62
25.72;90.62;13.80;1.54;5749.62;6126.76
26.31;88.47;7.40;1.70;6126.76;5760.73
25.89;90.43;15.40;1.70;5760.73;5254.62
26.12;89.93;20.80;1.77;5254.62;5222.40
25.74;92.26;3.40;1.57;5222.40;5365.59
26.08;88.69;1.00;2.00;5365.59;5176.78
26.41;90.10;15.60;1.77;5176.78;5056.15
25.62;92.56;7.80;1.27;5056.15;5624.08
25.20;92.40;149.60;1.74;5624.08;5885.42
24.01;95.09;84.00;1.26;5885.42;5404.43
24.94;92.40;101.40;1.34;5404.43;5462.43
24.82;94.23;71.00;1.30;5462.43;5840.96
24.61;92.14;133.40;1.53;5840.96;5436.29
24.33;95.01;51.40;1.20;5436.29;5091.99
23.74;98.18;198.60;1.36;5091.99;5193.62
23.05;96.25;89.60;2.08;5193.62;4520.07
23.78;93.64;12.00;1.59;4520.07;4768.78
22.98;99.76;309.40;1.07;4768.78;5492.13
23.69;95.43;114.00;1.33;5492.13;5997.44
24.12;92.64;43.40;1.42;5997.44;6106.91
22.80;95.64;178.00;2.00;6106.91;5820.53
23.70;89.07;1.60;2.16;5820.53;5163.05
23.41;90.88;22.80;2.17;5163.05;4834.89
23.57;89.62;15.40;1.74;4834.89;4993.49
23.01;92.57;7.80;1.50;4993.49;4769.10
24.51;90.69;24.80;1.81;4769.10;5041.64
24.11;87.32;4.00;2.91;5041.64;4668.27
23.96;89.06;44.00;2.25;4668.27;5400.94
23.71;89.96;26.40;2.34;5400.94;4682.18
24.09;92.65;144.20;2.10;4682.18;4940.73
23.95;94.52;46.00;1.82;4940.73;4960.09
23.89;92.76;29.20;1.85;4960.09;5671.02
24.30;91.26;51.00;1.91;5671.02;5705.02
