Lugar;Algoritmo;RMSE;R2
28 Millas;Ridge regression;410.4770601;0.507497068
28 Millas;Ridge regression;410.4770601;0.507497068
28 Millas;Ridge regression;410.4770601;0.507497068
28 Millas;ElasticNet regression;410.492357;0.492565783
28 Millas;ElasticNet regression;410.492357;0.492565783
28 Millas;ElasticNet regression;410.4939734;0.456689052
28 Millas;Ridge regression;410.4996979;0.507700085
28 Millas;Ridge regression;410.4996979;0.507700085
28 Millas;ElasticNet regression;410.5282054;0.465762205
28 Millas;Ridge regression;410.5282582;0.472657742
28 Millas;Linear regression;410.5285199;0.472658111
28 Millas;Linear regression;410.5328378;0.507544861
28 Millas;Linear regression;410.5328378;0.507544861
28 Millas;Linear regression;410.5328378;0.507544861
28 Millas;Linear regression;410.5328378;0.507544861
28 Millas;Linear regression;410.5565506;0.507749304
28 Millas;Linear regression;410.5565506;0.507749304
28 Millas;ElasticNet regression;410.6673389;0.492050362
28 Millas;ElasticNet regression;410.6673389;0.492050362
28 Millas;ElasticNet regression;410.6673389;0.492050362
28 Millas;ElasticNet regression;410.6673389;0.492050362
28 Millas;ElasticNet regression;410.6761348;0.445970691
28 Millas;ElasticNet regression;410.6800572;0.49663519
28 Millas;ElasticNet regression;410.6800572;0.49663519
28 Millas;ElasticNet regression;410.6800572;0.49663519
28 Millas;ElasticNet regression;410.6800572;0.49663519
28 Millas;Ridge regression;410.7297722;0.47512622
28 Millas;ElasticNet regression;410.7364717;0.490698051
28 Millas;ElasticNet regression;410.7364717;0.490698051
28 Millas;Linear regression;410.7480539;0.475135052
28 Millas;ElasticNet regression;410.7671909;0.497813357
28 Millas;ElasticNet regression;410.7671909;0.497813357
28 Millas;ElasticNet regression;410.7671909;0.497813357
28 Millas;ElasticNet regression;410.7671909;0.497813357
28 Millas;ElasticNet regression;410.7811782;0.491112108
28 Millas;ElasticNet regression;410.7811782;0.491112108
28 Millas;ElasticNet regression;410.7811782;0.491112108
28 Millas;ElasticNet regression;410.7811782;0.491112108
28 Millas;Ridge regression;410.7894102;0.475189425
28 Millas;Linear regression;410.8046211;0.475215277
28 Millas;Ridge regression;410.8264697;0.481625066
28 Millas;Linear regression;410.8341371;0.481623952
28 Millas;ElasticNet regression;410.8444396;0.491298093
28 Millas;ElasticNet regression;410.8444396;0.491298093
28 Millas;Ridge regression;410.8617971;0.531561451
28 Millas;Ridge regression;410.8617971;0.531561451
28 Millas;Ridge regression;410.8617971;0.531561451
28 Millas;Linear regression;410.8696974;0.531562779
28 Millas;Linear regression;410.8696974;0.531562779
28 Millas;Linear regression;410.8696974;0.531562779
28 Millas;ElasticNet regression;410.8838766;0.491058065
28 Millas;ElasticNet regression;410.8838766;0.491058065
28 Millas;Ridge regression;410.9177743;0.476192941
28 Millas;ElasticNet regression;410.9241521;0.475900263
28 Millas;Linear regression;410.9253535;0.476189959
28 Millas;Ridge regression;410.9273026;0.469308318
28 Millas;Linear regression;410.9301001;0.469311175
28 Millas;ElasticNet regression;410.9504897;0.465327399
28 Millas;ElasticNet regression;410.9513138;0.491573261
28 Millas;ElasticNet regression;410.9513138;0.491573261
28 Millas;ElasticNet regression;410.9513138;0.491573261
28 Millas;ElasticNet regression;410.9513138;0.491573261
28 Millas;ElasticNet regression;410.9573453;0.505535485
28 Millas;ElasticNet regression;410.9590551;0.502398418
28 Millas;ElasticNet regression;410.9590551;0.502398418
28 Millas;ElasticNet regression;410.9590551;0.502398418
28 Millas;ElasticNet regression;410.9958428;0.458140865
28 Millas;ElasticNet regression;411.0000736;0.460621706
28 Millas;Ridge regression;411.0557575;0.519332619
28 Millas;Ridge regression;411.0557575;0.519332619
28 Millas;Ridge regression;411.0557575;0.519332619
28 Millas;Ridge regression;411.0561988;0.474703174
28 Millas;ElasticNet regression;411.0595275;0.498655813
28 Millas;ElasticNet regression;411.0595275;0.498655813
28 Millas;ElasticNet regression;411.0595275;0.498655813
28 Millas;Linear regression;411.0595565;0.474703467
28 Millas;Linear regression;411.066912;0.51933517
28 Millas;Linear regression;411.066912;0.51933517
28 Millas;Linear regression;411.066912;0.51933517
28 Millas;Ridge regression;411.1059123;0.466996338
28 Millas;Linear regression;411.1101716;0.467002122
28 Millas;ElasticNet regression;411.1563028;0.496478926
28 Millas;ElasticNet regression;411.1563028;0.496478926
28 Millas;ElasticNet regression;411.1620119;0.496126586
28 Millas;ElasticNet regression;411.1620119;0.496126586
28 Millas;ElasticNet regression;411.1620119;0.496126586
28 Millas;ElasticNet regression;411.1620119;0.496126586
28 Millas;ElasticNet regression;411.2115985;0.495723125
28 Millas;ElasticNet regression;411.2115985;0.495723125
28 Millas;ElasticNet regression;411.2115985;0.495723125
28 Millas;ElasticNet regression;411.2115985;0.495723125
28 Millas;Ridge regression;411.2608207;0.47562124
28 Millas;ElasticNet regression;411.2659562;0.468684252
28 Millas;Linear regression;411.2725271;0.47562644
28 Millas;ElasticNet regression;411.2823944;0.457288376
28 Millas;Ridge regression;411.28979;0.471379538
28 Millas;Linear regression;411.2900499;0.471379924
28 Millas;ElasticNet regression;411.2926247;0.495712552
28 Millas;ElasticNet regression;411.2926247;0.495712552
28 Millas;Ridge regression;411.3049622;0.476092124
28 Millas;Linear regression;411.3053268;0.476092361
28 Millas;ElasticNet regression;411.3173365;0.501381696
28 Millas;Ridge regression;411.3269619;0.513884903
28 Millas;Ridge regression;411.3269619;0.513884903
28 Millas;Ridge regression;411.3269619;0.513884903
28 Millas;Ridge regression;411.3269619;0.513884903
28 Millas;ElasticNet regression;411.343392;0.463581364
28 Millas;Ridge regression;411.3708294;0.523751058
28 Millas;Ridge regression;411.3708294;0.523751058
28 Millas;Linear regression;411.3753524;0.513933318
28 Millas;Linear regression;411.3753524;0.513933318
28 Millas;Linear regression;411.3753524;0.513933318
28 Millas;Linear regression;411.3753524;0.513933318
28 Millas;ElasticNet regression;411.3765633;0.489874229
28 Millas;ElasticNet regression;411.3765633;0.489874229
28 Millas;Ridge regression;411.3905681;0.513960001
28 Millas;Ridge regression;411.3905681;0.513960001
28 Millas;ElasticNet regression;411.4153595;0.459299165
28 Millas;Ridge regression;411.4349807;0.509331219
28 Millas;Ridge regression;411.4349807;0.509331219
28 Millas;Linear regression;411.4403864;0.51400942
28 Millas;Linear regression;411.4403864;0.51400942
28 Millas;SVR - linear kernel;411.4437156;0.514286223
28 Millas;ElasticNet regression;411.4590563;0.505055198
28 Millas;ElasticNet regression;411.4590563;0.505055198
28 Millas;ElasticNet regression;411.4590563;0.505055198
28 Millas;Ridge regression;411.463404;0.46559533
28 Millas;Linear regression;411.4636157;0.465595659
28 Millas;Linear regression;411.5053723;0.509345912
28 Millas;Linear regression;411.5053723;0.509345912
28 Millas;Ridge regression;411.5072481;0.499834478
28 Millas;Ridge regression;411.5072481;0.499834478
28 Millas;Ridge regression;411.5203905;0.479478906
28 Millas;Ridge regression;411.5217978;0.499724593
28 Millas;Ridge regression;411.5217978;0.499724593
28 Millas;Ridge regression;411.5217978;0.499724593
28 Millas;Ridge regression;411.5217978;0.499724593
28 Millas;Ridge regression;411.5221788;0.495120729
28 Millas;Ridge regression;411.5221788;0.495120729
28 Millas;Ridge regression;411.5221788;0.495120729
28 Millas;Ridge regression;411.5221788;0.495120729
28 Millas;Linear regression;411.5304405;0.499856221
28 Millas;Linear regression;411.5304405;0.499856221
28 Millas;Ridge regression;411.5323369;0.495163708
28 Millas;Ridge regression;411.5323369;0.495163708
28 Millas;ElasticNet regression;411.5422194;0.489056216
28 Millas;ElasticNet regression;411.5422194;0.489056216
28 Millas;ElasticNet regression;411.5422194;0.489056216
28 Millas;ElasticNet regression;411.5422194;0.489056216
28 Millas;Linear regression;411.5446033;0.499745811
28 Millas;Linear regression;411.5446033;0.499745811
28 Millas;Linear regression;411.5446033;0.499745811
28 Millas;Linear regression;411.5446033;0.499745811
28 Millas;Linear regression;411.5452368;0.479488711
28 Millas;ElasticNet regression;411.5475392;0.544139303
28 Millas;ElasticNet regression;411.5475392;0.544139303
28 Millas;ElasticNet regression;411.5475392;0.544139303
28 Millas;Linear regression;411.5487088;0.495143794
28 Millas;Linear regression;411.5487088;0.495143794
28 Millas;Linear regression;411.5487088;0.495143794
28 Millas;Linear regression;411.5487088;0.495143794
28 Millas;Linear regression;411.5592368;0.495187214
28 Millas;Linear regression;411.5592368;0.495187214
28 Millas;SVR - linear kernel;411.5709809;0.522495208
28 Millas;ElasticNet regression;411.5773029;0.454645141
28 Millas;Ridge regression;411.5791195;0.492376394
28 Millas;Ridge regression;411.5791195;0.492376394
28 Millas;Ridge regression;411.5791195;0.492376394
28 Millas;Ridge regression;411.5791195;0.492376394
28 Millas;Ridge regression;411.60252;0.502833204
28 Millas;Ridge regression;411.60252;0.502833204
28 Millas;Ridge regression;411.60252;0.502833204
28 Millas;Linear regression;411.6058861;0.502837374
28 Millas;Linear regression;411.6058861;0.502837374
28 Millas;Linear regression;411.6058861;0.502837374
28 Millas;Linear regression;411.6117016;0.523768142
28 Millas;Linear regression;411.6117016;0.523768142
28 Millas;Linear regression;411.6376497;0.492386623
28 Millas;Linear regression;411.6376497;0.492386623
28 Millas;Linear regression;411.6376497;0.492386623
28 Millas;Linear regression;411.6376497;0.492386623
28 Millas;ElasticNet regression;411.6894282;0.504649094
28 Millas;ElasticNet regression;411.6894282;0.504649094
28 Millas;ElasticNet regression;411.7197679;0.448181048
28 Millas;Ridge regression;411.7273072;0.474128416
28 Millas;Ridge regression;411.7291253;0.477670001
28 Millas;Linear regression;411.7383041;0.474134798
28 Millas;ElasticNet regression;411.7508585;0.498321128
28 Millas;ElasticNet regression;411.7508585;0.498321128
28 Millas;ElasticNet regression;411.7508585;0.498321128
28 Millas;Linear regression;411.7557041;0.477675125
28 Millas;ElasticNet regression;411.7685658;0.450781328
28 Millas;Ridge regression;411.7951471;0.482172277
28 Millas;Linear regression;411.7984697;0.482174827
28 Millas;ElasticNet regression;411.8049468;0.451866224
28 Millas;ElasticNet regression;411.8189845;0.504959506
28 Millas;ElasticNet regression;411.8189845;0.504959506
28 Millas;ElasticNet regression;411.8189845;0.504959506
28 Millas;ElasticNet regression;411.8189845;0.504959506
28 Millas;ElasticNet regression;411.8443028;0.516989133
28 Millas;ElasticNet regression;411.8443028;0.516989133
28 Millas;ElasticNet regression;411.8443028;0.516989133
28 Millas;Ridge regression;411.873654;0.501816238
28 Millas;Ridge regression;411.873654;0.501816238
28 Millas;ElasticNet regression;411.8916509;0.50871683
28 Millas;ElasticNet regression;411.8916509;0.50871683
28 Millas;ElasticNet regression;411.8916509;0.50871683
28 Millas;Ridge regression;411.8985126;0.500208318
28 Millas;Ridge regression;411.8985126;0.500208318
28 Millas;Ridge regression;411.8985126;0.500208318
28 Millas;Ridge regression;411.8985126;0.500208318
28 Millas;Ridge regression;411.9011209;0.536537159
28 Millas;Ridge regression;411.9011209;0.536537159
28 Millas;Ridge regression;411.9011209;0.536537159
28 Millas;ElasticNet regression;411.9053149;0.488259887
