TAireMax;TAireMin;TempeAire;Humedad;MinHumed;MaxHumed;Rasolwm;Precipita;VelViMax;VelViento;Severidadhoja2;Severidadhoja3;Severidadhoja4;EstadoEvolucion
32.2;21.8;26.26;92.37;67;100;284;56;11.3;1.21;1080;1620;2240;5257.95
32.1;23;25.88;93.76;63;100;248;69.4;14.5;0.9;1120;1600;2100;5312.01
31.9;21.9;25.63;93.35;66;100;269;61.6;8;0.87;1100;2040;2220;5356.17
32.2;20.8;25.37;90.46;64;100;342;89.8;12.9;1.04;1260;2340;2360;6632.38
32.7;21.8;26.55;89.38;63;100;381;16.6;11.3;1.34;1080;2020;2340;5944.89
32;22.2;25.9;92.31;60;100;303;25.4;8;0.68;1100;1820;2280;5828.09
32.3;21.7;25.47;94.57;65;100;220;105.6;12.9;0.66;1100;1860;2200;5098.62
32.6;21.9;25.65;93.73;65;100;263;85.2;9.7;0.75;1100;1860;2200;5407.82
32.2;20.7;26.06;90.01;64;100;352;24.4;11.3;0.6;1020;1560;2240;6023.66
33.3;21.2;25.77;91.1;58;100;294;16.6;9.7;0.59;1120;1800;2240;5716.22
32.7;21.2;25.8;90.1;61;100;347;1.2;12.9;0.64;1080;1800;2180;5154.48
33;21.4;25.83;90.85;60;100;355;29.6;14.5;0.99;1200;1980;2200;5802.22
32.5;21.8;26.32;90.53;63;100;330;23.8;12.9;0.85;1160;1940;2320;6468.06
33.6;20.9;25.94;91.13;60;100;326;9.8;9.7;0.66;960;2000;2280;5216.15
33;22.2;26.26;91.18;63;100;298;5.8;19.3;0.68;1240;2180;2380;5930.48
32.7;22.4;26.24;90.85;63;100;326;23.4;12.9;1.3;1260;1880;2360;5635.93
32.8;20.6;26.07;90.32;58;100;350;13;9.7;0.72;1240;1820;2240;5070.77
32.8;21.5;25.31;91.74;60;100;266;1.6;16.1;0.91;1040;1880;2100;5038.17
31.9;21.2;25.61;91.8;60;100;299;27.6;8;0.59;1180;1880;2220;5726.04
30.9;20.7;24.91;92.85;65;100;260;17.6;9.7;0.61;1000;1920;2060;5608.23
29.6;20;23.73;83.91;57;100;210;13.8;9.7;1.3;1240;2140;2260;5045.14
31.6;22;24.87;96.36;72;100;188;99.2;6.4;0.39;1180;1720;2300;5005.99
30.9;20;24.38;94.36;66;100;245;63.8;12.9;0.84;1400;1920;2300;5095.78
31.3;22.6;25.43;93.55;64;100;272;94;8;0.6;1120;1980;2200;5116.98
31.6;20.4;25.08;90.4;63;100;309;18.4;9.7;0.79;1040;1600;2260;5082.93
30;20.9;24.91;95.9;73;100;150;125.2;6.4;0.31;1200;1900;2180;5440.7
30.8;21.1;24.55;96.08;65;100;156;81;9.7;0.66;1360;2280;2300;5104.66
30.2;20.4;24.42;89.84;57;100;313;7.6;12.9;1.76;1200;2220;2340;5221.2
30.1;19.8;23.93;93.59;57;100;244;72.2;11.3;1.12;1260;2080;2380;5064.3
30.2;18.9;24.05;91.85;63;100;247;22.6;12.9;1.27;1500;2200;2320;5488.37
29.9;20.2;24.21;92.55;62;100;245;21.8;14.5;1.52;1400;2260;2320;5449.71
29.7;18.2;23.9;88.35;56;100;212;0.6;14.5;1.76;1300;2300;2380;5269.47
31.1;18.9;24.98;87.55;54;100;366;1;11.3;1.68;1120;2120;2380;5034.41
30.4;18.6;23.63;90.68;56;100;342;48;14.5;1.69;880;1800;2260;4886.2
31.7;19.8;25.67;90.67;60;100;316;19.6;12.9;1.67;1040;1860;2280;5058.32
31.3;19.4;24.67;88.35;47;100;350;18.2;12.9;1.76;880;1600;2220;4832.3
31.4;19.1;25.1;89.47;58;100;378;78.2;14.5;1.73;1000;1420;2020;4488.54
31.5;19.6;24.85;88.56;55;100;390;14.2;12.9;1.4;880;1580;1940;4351.83
